1:ROR:!=(int,int):<(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_ROWS |==> mode < FIXED_NUM_ROWS
174:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:r < nrows |==> r <= nrows
175:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:r < nrows |==> false
176:AOR:+(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:row_heights[r] + vgap |==> row_heights[r] % vgap
177:AOR:+(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:row_heights[r] + vgap |==> row_heights[r] * vgap
178:AOR:+(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:row_heights[r] + vgap |==> row_heights[r] - vgap
179:AOR:+(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:row_heights[r] + vgap |==> row_heights[r] / vgap
180:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):215:0 |==> 1
181:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):215:0 |==> -1
182:EVR:<MEMBER_SELECT(int)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):215:insets.left |==> 0
183:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):215:c < ncols |==> c != ncols
184:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):215:c < ncols |==> c <= ncols
185:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):215:c < ncols |==> false
186:AOR:+(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):215:col_widths[c] + hgap |==> col_widths[c] % hgap
187:AOR:+(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):215:col_widths[c] + hgap |==> col_widths[c] * hgap
188:AOR:+(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):215:col_widths[c] + hgap |==> col_widths[c] - hgap
189:AOR:+(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):215:col_widths[c] + hgap |==> col_widths[c] / hgap
190:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):216:i < ncomponents |==> i != ncomponents
191:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):216:i < ncomponents |==> i <= ncomponents
192:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):216:i < ncomponents |==> false
193:STD:<CALL>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):217:parent.getComponent(i).setBounds(x, y, col_widths[c], row_heights[r]) |==> <NO-OP>
194:EVR:<PLUS(java.lang.String)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@toString():235:getClass().getName() + "[mode=" + mode + ",size=" + size + ",hgap=" + hgap + ",vgap=" + vgap + "]" |==> null
195:STD:<CALL>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):246:update(parent) |==> <NO-OP>
196:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):248:parent.getComponentCount() |==> 0
197:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):249:0 |==> 1
198:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):249:0 |==> -1
199:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):250:0 |==> 1
200:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):250:0 |==> -1
201:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):252:0 |==> 1
202:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):252:0 |==> -1
203:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):252:0 |==> 1
204:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):252:0 |==> -1
205:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):252:r < nrows |==> r != nrows
206:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):252:r < nrows |==> r <= nrows
207:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):252:r < nrows |==> false
208:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):253:0 |==> 1
209:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):253:0 |==> -1
210:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):254:0 |==> 1
211:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):254:0 |==> -1
212:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):254:c < ncols |==> c != ncols
213:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):254:c < ncols |==> c <= ncols
214:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):254:c < ncols |==> false
215:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):255:i < ncomponents |==> i != ncomponents
216:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):255:i < ncomponents |==> i <= ncomponents
217:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):255:i < ncomponents |==> false
218:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):258:row_height = Math.max(row_height, parent.getComponent(i).getMinimumSize().height) |==> <NO-OP>
219:STD:<BREAK>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):259:break; |==> <NO-OP>
220:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):261:row_height = Math.max(row_height, parent.getComponent(i).getMaximumSize().height) |==> <NO-OP>
221:STD:<BREAK>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):262:break; |==> <NO-OP>
222:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):264:row_height = Math.max(row_height, parent.getComponent(i).getPreferredSize().height) |==> <NO-OP>
223:STD:<BREAK>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):265:break; |==> <NO-OP>
224:STD:<BREAK>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):268:break; |==> <NO-OP>
225:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):271:h += row_height |==> <NO-OP>
226:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):274:0 |==> 1
227:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):274:0 |==> -1
228:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):274:c < ncols |==> c != ncols
229:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):274:c < ncols |==> c <= ncols
230:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):274:c < ncols |==> false
231:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):275:0 |==> 1
232:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):275:0 |==> -1
233:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):276:0 |==> 1
234:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):276:0 |==> -1
235:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):276:r < nrows |==> r != nrows
236:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):276:r < nrows |==> r <= nrows
237:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):276:r < nrows |==> false
238:AOR:*(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):277:r * ncols |==> r % ncols
239:AOR:*(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):277:r * ncols |==> r + ncols
240:AOR:*(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):277:r * ncols |==> r - ncols
241:AOR:*(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):277:r * ncols |==> r / ncols
242:AOR:+(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):277:r * ncols + c |==> r * ncols % c
243:AOR:+(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):277:r * ncols + c |==> r * ncols * c
244:AOR:+(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):277:r * ncols + c |==> r * ncols - c
245:AOR:+(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):277:r * ncols + c |==> r * ncols / c
246:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):278:i < ncomponents |==> i != ncomponents
247:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):278:i < ncomponents |==> i <= ncomponents
248:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):278:i < ncomponents |==> false
249:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):281:col_width = Math.max(col_width, parent.getComponent(i).getMinimumSize().width) |==> <NO-OP>
250:STD:<BREAK>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):282:break; |==> <NO-OP>
251:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):284:col_width = Math.max(col_width, parent.getComponent(i).getMaximumSize().width) |==> <NO-OP>
252:STD:<BREAK>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):285:break; |==> <NO-OP>
253:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):287:col_width = Math.max(col_width, parent.getComponent(i).getPreferredSize().width) |==> <NO-OP>
254:STD:<BREAK>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):288:break; |==> <NO-OP>
255:STD:<BREAK>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):291:break; |==> <NO-OP>
256:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):294:w += col_width |==> <NO-OP>
257:EVR:<METHOD_INVOCATION(java.awt.Insets)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):297:parent.getInsets() |==> null
258:AOR:+(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left |==> w % insets.left
259:AOR:+(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left |==> w * insets.left
260:AOR:+(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left |==> w - insets.left
261:AOR:+(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left |==> w / insets.left
262:AOR:+(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left + insets.right |==> (w + insets.left) % insets.right
263:AOR:+(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left + insets.right |==> (w + insets.left) * insets.right
264:AOR:+(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left + insets.right |==> w + insets.left - insets.right
265:AOR:+(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left + insets.right |==> (w + insets.left) / insets.right
266:LVR:POS:0:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:1 |==> 0
267:LVR:POS:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:1 |==> -1
268:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:ncols - 1 |==> ncols % 1
269:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:ncols - 1 |==> ncols * 1
270:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:ncols - 1 |==> ncols + 1
271:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:ncols - 1 |==> ncols / 1
272:AOR:*(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:(ncols - 1) * hgap |==> (ncols - 1) % hgap
273:AOR:*(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:(ncols - 1) * hgap |==> (ncols - 1) + hgap
274:AOR:*(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:(ncols - 1) * hgap |==> (ncols - 1) - hgap
275:AOR:*(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:(ncols - 1) * hgap |==> (ncols - 1) / hgap
276:AOR:+(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left + insets.right + ((ncols - 1) * hgap) |==> (w + insets.left + insets.right) % ((ncols - 1) * hgap)
277:AOR:+(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left + insets.right + ((ncols - 1) * hgap) |==> (w + insets.left + insets.right) * ((ncols - 1) * hgap)
278:AOR:+(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left + insets.right + ((ncols - 1) * hgap) |==> w + insets.left + insets.right - ((ncols - 1) * hgap)
279:AOR:+(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):298:w + insets.left + insets.right + ((ncols - 1) * hgap) |==> (w + insets.left + insets.right) / ((ncols - 1) * hgap)
280:AOR:+(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top |==> h % insets.top
281:AOR:+(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top |==> h * insets.top
282:AOR:+(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top |==> h - insets.top
283:AOR:+(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top |==> h / insets.top
284:AOR:+(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top + insets.bottom |==> (h + insets.top) % insets.bottom
285:AOR:+(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top + insets.bottom |==> (h + insets.top) * insets.bottom
286:AOR:+(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top + insets.bottom |==> h + insets.top - insets.bottom
287:AOR:+(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top + insets.bottom |==> (h + insets.top) / insets.bottom
288:LVR:POS:0:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:1 |==> 0
289:LVR:POS:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:1 |==> -1
290:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:nrows - 1 |==> nrows % 1
291:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:nrows - 1 |==> nrows * 1
292:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:nrows - 1 |==> nrows + 1
293:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:nrows - 1 |==> nrows / 1
294:AOR:*(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:(nrows - 1) * vgap |==> (nrows - 1) % vgap
295:AOR:*(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:(nrows - 1) * vgap |==> (nrows - 1) + vgap
296:AOR:*(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:(nrows - 1) * vgap |==> (nrows - 1) - vgap
297:AOR:*(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:(nrows - 1) * vgap |==> (nrows - 1) / vgap
298:AOR:+(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top + insets.bottom + ((nrows - 1) * vgap) |==> (h + insets.top + insets.bottom) % ((nrows - 1) * vgap)
299:AOR:+(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top + insets.bottom + ((nrows - 1) * vgap) |==> (h + insets.top + insets.bottom) * ((nrows - 1) * vgap)
300:AOR:+(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top + insets.bottom + ((nrows - 1) * vgap) |==> h + insets.top + insets.bottom - ((nrows - 1) * vgap)
301:AOR:+(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutSize(java.awt.Container,int):299:h + insets.top + insets.bottom + ((nrows - 1) * vgap) |==> (h + insets.top + insets.bottom) / ((nrows - 1) * vgap)
302:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):305:container.getComponentCount() |==> 0
303:EVR:<IDENTIFIER(int)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):306:nrows |==> 0
304:EVR:<IDENTIFIER(int)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):307:ncols |==> 0
305:ROR:==(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):308:this.mode == FIXED_NUM_ROWS |==> this.mode <= FIXED_NUM_ROWS
306:ROR:==(int,int):>=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):308:this.mode == FIXED_NUM_ROWS |==> this.mode >= FIXED_NUM_ROWS
307:ROR:==(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):308:this.mode == FIXED_NUM_ROWS |==> false
308:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):309:nrows = this.size |==> <NO-OP>
309:AOR:+(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:ncomponents + nrows |==> ncomponents % nrows
310:AOR:+(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:ncomponents + nrows |==> ncomponents * nrows
311:AOR:+(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:ncomponents + nrows |==> ncomponents - nrows
312:AOR:+(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:ncomponents + nrows |==> ncomponents / nrows
313:LVR:POS:0:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:1 |==> 0
314:LVR:POS:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:1 |==> -1
315:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:ncomponents + nrows - 1 |==> (ncomponents + nrows) % 1
316:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:ncomponents + nrows - 1 |==> (ncomponents + nrows) * 1
317:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:ncomponents + nrows - 1 |==> ncomponents + nrows + 1
318:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:ncomponents + nrows - 1 |==> (ncomponents + nrows) / 1
319:AOR:/(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:(ncomponents + nrows - 1) / nrows |==> (ncomponents + nrows - 1) % nrows
320:AOR:/(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:(ncomponents + nrows - 1) / nrows |==> (ncomponents + nrows - 1) * nrows
321:AOR:/(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:(ncomponents + nrows - 1) / nrows |==> (ncomponents + nrows - 1) + nrows
322:AOR:/(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:(ncomponents + nrows - 1) / nrows |==> (ncomponents + nrows - 1) - nrows
323:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):310:ncols = (ncomponents + nrows - 1) / nrows |==> <NO-OP>
324:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):312:ncols = this.size |==> <NO-OP>
325:AOR:+(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:ncomponents + ncols |==> ncomponents % ncols
326:AOR:+(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:ncomponents + ncols |==> ncomponents * ncols
327:AOR:+(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:ncomponents + ncols |==> ncomponents - ncols
328:AOR:+(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:ncomponents + ncols |==> ncomponents / ncols
329:LVR:POS:0:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:1 |==> 0
330:LVR:POS:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:1 |==> -1
331:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:ncomponents + ncols - 1 |==> (ncomponents + ncols) % 1
332:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:ncomponents + ncols - 1 |==> (ncomponents + ncols) * 1
333:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:ncomponents + ncols - 1 |==> ncomponents + ncols + 1
334:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:ncomponents + ncols - 1 |==> (ncomponents + ncols) / 1
335:AOR:/(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:(ncomponents + ncols - 1) / ncols |==> (ncomponents + ncols - 1) % ncols
336:AOR:/(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:(ncomponents + ncols - 1) / ncols |==> (ncomponents + ncols - 1) * ncols
337:AOR:/(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:(ncomponents + ncols - 1) / ncols |==> (ncomponents + ncols - 1) + ncols
338:AOR:/(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:(ncomponents + ncols - 1) / ncols |==> (ncomponents + ncols - 1) - ncols
339:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):313:nrows = (ncomponents + ncols - 1) / ncols |==> <NO-OP>
340:ROR:!=(int,int):<(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):315:old_nrows != nrows |==> old_nrows < nrows
